文仲月slience=>2022-06-13 21:27:15=>27=>作为将来服务于三海一核的大学生，我想说强国有我，使命必达<span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
龏奭嚻艸=>2022-06-13 21:31:07=>21=>期待优秀的有志青年报效祖国！<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
娜娜真棒呀=>2022-06-13 21:26:04=>18=>参军报国 文武双全<span class="url-icon"><img alt="[赢牛奶]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png" style="width:1em; height:1em;" /></span>
人间有味是清欢cycy=>2022-06-13 21:29:48=>9=>投身绿色军营，逐梦无悔青春！<span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[加油] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_jiayou-a34ced0409.png" style="width:1em; height:1em;" /></span>
光山县中等职业学校=>2022-06-13 21:34:26=>4=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%85%89%E5%B1%B1%E4%B8%AD%E8%81%8C%E5%A5%BD%E5%AD%A6%E5%AD%90%23&extparam=%23%E5%85%89%E5%B1%B1%E4%B8%AD%E8%81%8C%E5%A5%BD%E5%AD%A6%E5%AD%90%23" data-hide=""><span class="surl-text">#光山中职好学子#</span></a> 强国有我
陌上清浅-=>2022-06-13 21:31:17=>1=><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
兔子抱紧胡萝卜S=>2022-06-13 21:29:22=>174=>孙启龙孙启龙<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>
高高高高桥晴子=>2022-06-13 21:37:14=>146=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E5%9B%BD%E6%B7%B1%E5%9C%B3%E5%AD%99%E5%90%AF%E9%BE%99%23" data-hide=""><span class="surl-text">#中国深圳孙启龙#</span></a> 深圳孙启龙qjf
虾仁不眨眼也=>2022-06-13 22:26:27=>25=>看看江南大学男生偷拍女生洗澡的事吧
野狗别咬_=>2022-06-13 22:45:43=>9=>深圳那个女孩的热搜求求您看一看查一查
找找找到了=>2022-06-13 22:27:26=>7=>深圳的热搜看一下可以吗
重拾_狗狗祟祟的快乐=>2022-06-13 23:14:38=>2=><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
任嘉的雪儿=>2022-06-13 23:05:59=>3=>参军报国 文武双全
脱脂茄子=>2022-06-14 01:25:38=>3=>团团团团我来打拳啦<span class="url-icon"><img alt=[爱你] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_aini-09d5f3f870.png" style="width:1em; height:1em;" /></span>
love白鹿的崽=>2022-06-14 00:11:29=>2=>报效祖国
贴窗剪爱=>2022-06-13 22:55:03=>2=>走强军之路，报效祖国。
品茶说酒=>2022-06-13 22:41:02=>1=>高考没考上的，现在有机会了，还是不错的选择<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
dounier-=>2022-06-13 22:23:36=>3=>福建一学生被霸凌
卧龙布依=>2022-06-13 21:51:37=>1=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%AE%9A%E5%90%91%E5%9F%B9%E5%85%BB%E5%86%9B%E5%A3%AB%E5%BC%80%E5%A7%8B%E6%8B%9B%E7%94%9F%23&extparam=%23%E5%AE%9A%E5%90%91%E5%9F%B9%E5%85%BB%E5%86%9B%E5%A3%AB%E5%BC%80%E5%A7%8B%E6%8B%9B%E7%94%9F%23" data-hide=""><span class="surl-text">#定向培养军士开始招生#</span></a> 选拔培养优秀人才，有志于参军报国的小伙伴们可以来报名啦<span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[话筒] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-0a3e80b147.png" style="width:1em; height:1em;" /></span>
小聪明的我=>2022-06-13 23:21:39=>1=>棒！
娜娜真棒呀=>2022-06-13 21:25:32=>3=>不超过20岁的大学生可以吗<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
宫晴安心=>2022-06-14 07:22:53=>1=>好男儿胸怀祖国，为你们加油
4029舒心=>2022-06-14 06:48:52=>0=>支持
饼住呼吸亲ab=>2022-06-14 05:56:20=>0=><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>
唯Love晨熙=>2022-06-14 05:31:58=>0=>哇<span class="url-icon"><img alt=[good] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_good-0c51afc69c.png" style="width:1em; height:1em;" /></span>
