北京师范大学=>2022-09-08 14:37:19=>29=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8C%97%E4%BA%AC%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6120%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23&extparam=%23%E5%8C%97%E4%BA%AC%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6120%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23" data-hide=""><span class="surl-text">#北京师范大学120周年校庆#</span></a> 到祖国和人民最需要的地方去，努力成为党和人民满意的“四有”好老师！
Star--qi=>2022-09-08 14:23:12=>2=>教师节快乐
烂了个橘=>2022-09-08 14:22:37=>1=>提前祝各位老师教师节快乐
秋刀鱼是一条咸鱼=>2022-09-08 14:23:14=>1=>教师节即将来临，祝全国广大教师节日快乐！<span class="url-icon"><img alt=[抱一抱] src="https://h5.sinaimg.cn/m/emoticon/icon/default/co_a1hug-f3910d0e88.png" style="width:1em; height:1em;" /></span>
lontano9117远方=>2022-09-08 14:29:39=>0=>教师节快乐
青青草原大桃浦=>2022-09-08 14:26:27=>0=>教师节快乐<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
徐苑XY=>2022-09-08 14:33:29=>0=>辛勤的园丁们，节日快乐！<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
花简=>2022-09-08 14:26:36=>0=>教师节快乐<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
麻辣烫多加油面筋=>2022-09-08 14:21:57=>0=>👍👍👍
